name,purpose,category,website
Society of Environmental Engineers,"SEE's purpose is to sponsor discussions and activities in Environmental Engineering Sciences in order to enhance the professional awareness of our members, as well as to offer services to the needs of the Department of Environmental Engineering Sciences (EES), its faculty and students, and the College of Engineering.","Engineering, Professional/Career",N/A
Society of Female Industrial Engineers,The purpose of Society of Female Industrial Engineers is to encourage female leadership in the workplace through learning leadership skills and through community involvement and outreach.,"Professional/Career, Engineering",N/A
Society of Health and Medical Physics Students,"Our organization, through social and outreach activities, aims to educate people about radiation and radiological engineering and their medical applications.","Community/Volunteer Service, Professional/Career",N/A
Society of Hispanic Professional Engineers,"SHPE changes lives by empowering the Hispanic community to realize its fullest potential and to impact the world through STEM awareness, access, support and development. SHPE's vision is a world where Hispanics are highly valued and influential as the leading innovators, scientists, mathematicians and engineers.","Engineering, Professional/Career",N/A
Society of Physics Students,"SPS strives to achieve both academic and social objectives. These include, but are not limited to, the advancement and sharing of knowledge and techniques associated with the science of physics, the encouragement of interest in physics throughout academic and local communities, providing networking opportunities for members with the Department of Physics at the University of Florida and other universities' physics departments through national conventions and REU (Research Experiences for Undergraduates) programs, and fostering a platform where all individuals (including students, professors, and staff) can communicate and organize freely and openly about physics.",Liberal Arts and Sciences,N/A
Society of Sales Engineers,"The Society of Sales Engineers is an organization that allows students of all majors to be more informed about the topics of engineering and business, with a specific focus of the merger point of these two fields, which is referred to as Sales Engineering. Our organization's goal is to help the next generation of students gain valuable communication, networking, and social skills that will greatly benefit them when they take up managerial and leadership positions in the field of sales engineering. We also intend to educate students on the latest engineering news and trends so they have proficient technical knowledge regardless of what career or field they enter in their professional lives. As we did last year, we will also be competing at the National Society of Sales Engineers Conference. We are a member chapter of the National Society of Sales Engineers, allowing students to connect with top sales engineers from across the country, as well as a national alumni network so that our members can attend panel discussions, workshops that build personal and proffesional skills, resume sessions, and the keynote event from NSSE, the National Society of Sales Engineers Conference in October.","Engineering, Professional/Career",N/A
Society of Software Developers,"The Society of Software Developers is focused on helping members learn the principles of software design and apply them to real-world applications. We are more academic in nature than other organizations and work to create a community where students can ask for feedback and assistance for the projects. The concepts discussed and used help with building complex software systems and better prepare members for team projects, internships, and careers in software development.","Engineering, Professional/Career",N/A
Society of Undergraduate Future Surgeons,"By obtaining experiences from current physicians and conducting group research on relevant topics within the medical field, undergraduate pre-medical students are being exposed to information that will expand their caliber of thinking. In hosting general body meetings between the members to discuss the topics above and having guest physicians speak about their experiences, we are providing that gateway for further education and commitment to the field.",Medicine,N/A
Society of Women Engineers,"We strive to encourage UF's female engineering students to achieve their full potential in careers as engineers and leaders. We host events for developing careers, promoting the presence of women in STEM, and ‹building relationships with other female engineers.","Engineering, Professional/Career",N/A
Society of Young Behavior Analysts,The purpose of Society of Young Behavior Analysts is to disseminate information about behavior analysis to undergraduate students in the Gainesville community.,Community/Volunteer Service,N/A
SODA: Student Organ Donation Advocates,The mission of SODA is to advocate for organ donation through education and donor registration efforts in our community.,"Community/Volunteer Service, Special Interests",N/A
Software Engineering Club,"The Software Engineering Club strives to expose beginner Computer Science students to practical software development technologies and concepts they will not learn or be exposed to in their first or second year. These are technologies and skills that are heavily used in the industry and the real world, but not taught in classes. This can benefit the student to get involved with other clubs, hackathons, get a part time internship doing development work, enable them to succeed in interviews, secure summer internships and full time roles, and become a more knowledgeable developer. CHECK OUR WEBSITE / FACEBOOK FOR MEETING TIMES. http://ufsec.com","Engineering, Professional/Career",http://ufsec.com
Soil and Water Sciences Graduate Student Association,"The purpose of the SWSGSA is to support and encourage graduate students' academic, professional, social, university, and community involvement. Through the following objectives is how we plan to uphold our purpose:","Community/Volunteer Service, Graduate",N/A
Solace,"The purpose of Solace is to serve populations within UF Health Shands Hospital that do not receive much attention from those outside of the hospital staff. Solace members will provide the same level of care and companionship to underserved populations of the hospital that many patients within other units currently receive. Our mission statement is as follows: “We believe in the uplifting power of a smile. We are committed to bringing joy and laughter through companionship and strive to give ourselves to those who may be in a weak or lonely state, understanding that love and compassion have infinite healing capacity.”",Community/Volunteer Service,N/A
Solar Gator,"Solar Gator is a student organization driven by passionate, eco-minded student engineers and designers. We are committed to designing, building, and racing a compliant and successful solar-powered vehicle that competes in the Formula Sun Grand Prix in 2017. Along the way, we aim to raise sustainability awareness amongst our peers, our community, and our world.","Engineering, Special Interests",N/A
Sonic Computing Organization,"Sonic Computing Organization promotes the composition and performance of electroacoustic music, and provides opportunities for both instruction and professional development through peer review, sponsorship of guest composers/lecturers, trips to academic conferences, and annual concerts.",Special Interests,N/A
Sources of Strength,"Sources of Strength's purpose is to enhance protective factors associated with reducing suicide, while strengthening campus connectedness and promoting help-seeking behaviors. In other schools, it has been found to increase positive coping behaviors and norms, increase help-seeking, and more. This is done by teaching the students in the Sources of Strength organization about eight core protective factors (family, support, positive friends, mentors, healthy activities, generosity, spirituality, mental health, and medical access) and to recognize, build, and harness resilience that these protective factors provide. These students then go out in the community and teach others how to recognize, build, and harness these strengths.",Special Interests,N/A
South Asian Political Affairs,The main mission statement of SAPA (South Asian Political Affairs) is to educate the South Asian student population on the political issues pertinent to our community.,Political Interests,N/A
South Florida Graduate Student Organization,"The purpose of the South Florida Graduate Student Organization is to foster an inclusive environment for graduate students at the Tropical Research and Education Center in Homestead, FL and to engage with students at other RECs in South Florida. This organization allows students to interact on both a social and intellectual level.",Graduate,N/A
Space Systems Design Club,"The primary purpose of this organization is to facilitate the research, design, and development of space systems technology and to nurture the growing space community. These goals shall be achieved through student competitions with direct student involvement, creative research methods, and informative guest speakers from the space community, while maintaining an encouraging and stimulating environment for all STEM disciplines. This organization shall be non-profit and non-commercial in nature.","Engineering, Professional/Career",N/A
Sparks Magazine,Florida's Asian American magazine The purpose of Sparks Magazine will be: i. To create a publication that provides an outlet to articulate the APIA perspective. ii. To connect APIA students locally and nationwide. ii. To increase cultural awareness within the University of Florida and beyond. iii. To provide the APIA community with a source of inspiration and motivation. iv. To provide APIA students with the resources to foster skills in media-related industries.,Media/Publication,N/A
Special Olympics College,Special Olympics College at UF functions as an official club on campus and connects college students and individuals with intellectual disabilities through sport to build friendships and help lead the social justice movement of Special Olympics.,"Community/Volunteer Service, Recreation, Special Interests",N/A
Speech and Debate Society,"To develop communication, critical thinking, and self-advocacy through public debates, speaking competitions, and policy debates. No experience necessary and anybody is welcome.",Special Interests,N/A
Spoon University,"Spoon University was established to serve as an online food publication written by college students, for college students. As a chapter of the national organization, Spoon University's purpose is to be the resource for college students on navigating their way through both kitchens and Gainesville's unique food scene.","Journalism and Communications, Media/Publication, Special Interests",N/A
Sports Analytics Club,"The purpose of the organization is to provide an opportunity for UF students to learn about, research and discuss sports analytics. Our goal is for UF students to have an outlet to develop an understanding and excellence in sports analytics.",Special Interests,N/A
Squash,The purpose of Squash is to hone squash skills in a supportive environment in preparation for competitive play against other college squash teams around the United States.,Recreation,N/A
Standing Room Only,Standing Room Only is a vocal jazz ensemble that aims to educate students about jazz music and performance while simultaneously bringing vocal jazz to the broader Gainesville community. This group will allow students to broaden their musical proficiency in vocal jazz while also facilitating leadership and teamwork abilities.,Fine Arts,N/A
Statistics Club,"The Statistics Club is a pre-professional organization dedicated to providing experiences, opportunities, and education to anyone interested in the field of statistics. We regularly host guest speakers, workshops, and study sessions.",Liberal Arts and Sciences,N/A
Stomp the Swamp,We are an organization that raises money for Dancers Responding to AIDS by spreading the love of tap dance.,Fine Arts,N/A
Strong Roots Movement,"The Strong Roots Movement is a sustainability based organization with the goal of empowering the upcoming generation through educational efforts by teaching important lessons about our soils, minds, and bodies. We help connect the university community to the rest of Gainesville, and help under-served schools grow fresh, healthy nutritious vegetables and herbs.",Community/Volunteer Service,N/A
Student Academy of Audiology,Organization for Doctor of Audiology Graduate Students,Medicine,N/A
Student Admissions Officers,"The mission and purpose of the Student Admissions Officers is to engage, impact, and recruit prospective students through meaningful interaction about the University of Florida. SAO is committed to serving the university through direct connections with the Division of Enrollment Management, the Office of Admissions, and campus and alumni organizations. The Student Admissions Officers are also committed to enhancing leadership and personal development amongst all Ambassadors, recognizing the importance of diversity on the University of Florida campus, seeking to diversify the campus community, and providing college access and increased retention for all students through outreach and service.","Ambassador, Professional/Career",N/A
Student Affairs Graduate Association,The purpose of the Student Affairs Graduate Association is to explore and promote academic and career issues related to higher education and provide opportunities for those interested in the field to develop personal and professional relationships.,Education,N/A
Student Animal Alliance,"Student Animal Alliance is a not-for-profit student/community organization devoted to increasing public awareness of the unnecessary suffering experienced by non-human animals at the hands of humans, and what we can do to make it stop. SAA supports education regarding all the implications of our choices as consumers, including: health, environmental, economic, and humane. SAA is not anti-human, anti-farming, or anti-research. While we believe in disease prevention, environmental ethics, sustainable agriculture, and better science, we take a firm stance against the use of non-human animals as a means for human gain. The Student Animal Alliance seeks to achieve these goals of political and social change through education and demonstration, and by bringing the resources available in the community directly to the student body.",Special Interests,N/A
Student Association of Veterinary Oncology,Student Association of Veterinary Oncology is established to promote the advancement of knowledge of veterinary oncology to better equip students in their professional careers.,Veterinary Medicine,N/A
Student Association of Veterinary Surgery,"To advance the art and science of surgery and promote excellence in animal health care through research, education and service to the public.",Veterinary Medicine,N/A
Student Chapter of the American Association of Equine Practitioners,Purposes of this club shall be: 1. To enhance education opportunities for students interested in the field of equine medicine 2. To inform student of veterinary related problems affecting the equine industry 3. To create a network with the American Association of Equine Practitioners organization 4. To create links between practicing equine practitioners and students 5. To promote unity among students interested in the equine industry,Veterinary Medicine,N/A
Student Chapter of the American Chemical Society,"Promote the interest and involvement of the university and local community in Chemistry, and provide access to professional information as part of the American Chemical Society affiliation, including employment services, career development resources, and professional journals.",Liberal Arts and Sciences,N/A
Student Chapter of the American College of Veterinary Internal Medicine,"Section 1. The purpose of the Chapter is to promote the specialties of cardiology, neurology, oncology, large animal internal medicine, and small animal internal medicine through the advancement of knowledge to veterinary medical students. To this end the Chapter will function in the following capacities: 1. To disseminate information about the function of the American College of Veterinary Internal Medicine and its various specialties to its student affiliates. 2. To encourage pursuit of advanced training (internships or residencies) in the various specialties of American College of Veterinary Internal Medicine by the Chapter student affiliates. 3. To encourage student affiliates to pursue activities related to cardiology, neurology, oncology, large animal internal medicine, and small animal internal medicine such that they are able to gain exposure and experience in this area outside of the classroom, and facilitate their own understanding of the discipline. 4. To encourage student affiliates to work closely with the American College of Veterinary Internal Medicine and the American College of Veterinary Internal Medicine Foundation to develop fundraising activities so the Chapter may organize related workshops, as well as supplement travel expenses to the ACVIMForum.",Veterinary Medicine,N/A
Student Chapter of the American Holistic Veterinary Medical Association,"The goal of the Student Chapter of the American Holistic Veterinary Medical Association is to provide veterinary students with new and significant educational opportunities in integrative veterinary medicine, in hope that we can advance the field.",Veterinary Medicine,N/A
Student Chapter of the American Veterinary Medical Association,1. To promote a spirit of friendly relations among the students regularly enrolled in the course of veterinary medicine. 2. To provide an additional opportunity for the members to gain professional knowledge. 3. To demonstrate the virtues of organized effort. 4. To build character through the censorship of all unworthy actions of its members and the commendation of all worthy deeds. 5. To uphold the honor and dignity of the veterinary profession. 6. To make available to the students the opportunities offered by the AVMA to its student chapters. 7. To promote professional relations between the students and the faculty in the College of Veterinary Medicine. 8. To maintain a willingness to abide by the University of Florida College of Veterinary Medicine rules and regulations as well as state and federal laws.,Veterinary Medicine,N/A
Student Chapter of the Association of Shelter Veterinarians,"The purpose of SCASV is to promote the importance of the specialty of shelter medicine in veterinary medicine and to raise student awareness of issues pertaining to homeless animals and pet overpopulation, which may include:",Veterinary Medicine,N/A
Student Chapter of the Polymer and Polymer Materials Science and Engineering Divisions ACS,"The UF POLY/PMSE Chapter is affiliated to the ACS POLY and PMSE divisions that provides networking, career development and opportunities to students and post-doctoral associates in the polymer field.",Engineering,N/A
Student Chapter of the Society for Theriogenology,The purpose of this organization is to educate students and the community about reproductive medicine.,Veterinary Medicine,N/A
Student Chapter of the Wildlife Disease Association,"The purpose of the Wildlife Disease Association Student Chapter is to acquire, disseminate, and apply knowledge of the health and diseases of wild animals in relation to their biology, conservation, and interactions with humans and domestic animals. The organization will provide crucial skills and networking opportunities to young professionals in the field of wildlife disease.",Agricultural and Life Sciences,N/A
Student Chapter of Veterinary Diagnostic Imaging,To improve the quality of veterinary care by providing opportunities to further the education and experiences of veterinary students and assisting communities to improve their imaging technique.,"Veterinary Medicine, Professional/Career",N/A
Student Finance Group,"The Student Finance Group is an organization that strives to connect its members to internships or jobs that truly fit their needs and will help them start a successful career in Finance or Accounting. We do this by bringing recruiters directly to our members to outline the specific opportunities that their companies have available. This allows us to create a win-win for both our members and employers. Matching our students to the internships and jobs that best meet their needs, and providing employers easy access to the best in the Warrington College of Business.",Business,N/A
Student Government,Represent the interests of the Student Body.,"Community/Volunteer Service, Political Interests, Special Interests",N/A
Student Government Senate,To represent the Student Body.,Political Interests,N/A
Student Honors Organization,"The Student Honors Organization is a board of Honors upper and underclassmen aimed at promoting academic and professional development, community engagement, and diversity and inclusivity within the University Honors Program.",Professional/Career,N/A
Student Information Security Team,"To connect students to jobs, research, and competitions relating to the security field","Professional/Career, Special Interests",N/A
Student Investment Club,"SIC focuses on educating members about investing through promoting sound fundamental investing techniques designed for long term wealth generation. To achieve this goal, we host weekly technical lessons, a semester-long professional speaker series, a simulated investment challenge, current event analysis, and market updates.","Business, Professional/Career",N/A
Student National Cannabis Bar Association,"The Student National Cannabis Bar Association (“SNCBA”) is a group of students dedicated to the study and practice of current issues within the field of cannabis law. SNCBA seeks to encourage and facilitate contacts between members of the UF Law community who have an interest in cannabis law with established professionals within the field. Purposes of this group also include: 1. To promote personal and professional development of our members with the resources they need through mentorship, academic support, networking opportunities, professional development, and social events. 2. To provide opportunities for students to have their written work published and receive national recognition in the field of cannabis law through the National Cannabis Bar Association website, news blog, and other potential outlets. 3. To facilitate face to face meetings, interviews, educational events and social events with potential mentors or employers in the field of cannabis law through engaging the practicing attorney members of the National Cannabis Bar Association.4. To organize educational events with current professionals and experts in the field of cannabis law.5. To promote active engagement and discussion regarding the comprehensive legal issues and rapid developments regarding the future of the cannabis law practice.",Law,N/A
Student National Dental Association,"To promote and encourage an increase in minority enrollment in all dental schools To be committed to the improvement of dental health care delivery to all disadvantaged people To provide time and skill in assisting those programs within the greater community which required some measure of dental expertise To contribute to the welfare of dental students To educate and involve its members in the social, moral, and ethical obligations of the profession of dentistry",Professional/Career,N/A
Student National Pharmaceutical Association,"SNPhA is a pharmacy organization that serves students by offering opportunities to educate communities on better health practices, promote active participation in national healthcare issues, and grow professionally. The purpose of SNPhA is to plan, organize, coordinate, and execute programs geared toward the improvement of the health, educational, and social environment of minority communities.","Pharmacy, Professional/Career",N/A
Student National Pharmaceutical Association - Jacksonville,"The Student National Pharmaceutical Association- Jacksonville is dedicated to representing the views and ideals of minority pharmacists on critical issues affecting healthcare and pharmacy, as well as advancing the standards of pharmaceutical care among all practitioners. The Student National Pharmaceutical Association pledges to provide pharmacy students and undergraduate students the opportunity to develop leadership and professional skills, educating students about and promoting active participation in national health care issues, and educating communities on better health practices and to increase their awareness and understanding of diseases.",Pharmacy,N/A
Student National Pharmaceutical Association-Orlando,"The Student National Pharmaceutical Association- Orlando is dedicated to representing the views and ideals of minority pharmacists on critical issues affecting healthcare and pharmacy, as well as advancing the standards of pharmaceutical care among all practitioners. The Student National Pharmaceutical Association pledges to provide pharmacy students and undergraduate students the opportunity to develop leadership and professional skills, educating students about and promoting active participation in national health care issues, and educating communities on better health practices and to increase their awareness and understanding of diseases.","Pharmacy, Professional/Career",N/A
Student Occupational Therapy Association,"The purpose of SOTA is to stimulate an interest in the field of Occupational Therapy among University of Florida students by participation in health fairs, student group expositions and public visual displays. We aim to aid in building relations with other college and university departments, in the Health Science Center Complex, and community health care organizations through special projects and volunteer work.",Professional/Career,N/A
Student Physical Therapy Association,Organization for Physical Therapy students at the University of Florida This organization is designed to: a. Provide representation for the students in the doctorate of physical therapy program concerning interaction with faculty and the community b. Promote and increase awareness of the profession of physical therapy within the University and community c. Organize and promote activities for National Physical Therapy Week as set forth by the American Physical Therapy Association d. Increase community awareness of the special needs for the disabled population e. Participate in fundraising for charity organizations and community service events whenever possible,"Health and Human Performance, Professional/Career",N/A
Student Planning Association,The Student Planning Association (SPA) is a student-run organization within the Department of Urban and Regional Planning. All students in the URP program are eligible members and are encouraged to become involved throughout the year. Students in SPA are offered a variety of professional development opportunities and organize several social events each semester.,"Design/Construction/Planning, Professional/Career",N/A
Student Research Institute,"The purpose of the Student Research Institute (SRI) is to provide an environment where students interested in data analysis, research, and related fields can apply skills from classes and gain real-world experience. SRI analyzes the UF administration, Student Government, and other entities that affect students with projects that include administering and interpreting public opinion polls, collecting and analyzing data, and researching policies and practices.",Professional/Career,N/A
Student Society for Musicology,The Student Society for Musicology provides a professional extracurricular environment for the study of musicology and ethnomusicology at the University of Florida.,Fine Arts,N/A
Student Society of Health-System Pharmacists - Gainesville,The mission of the Florida Student Society of Health-System Pharmacists “ Gainesville is to make students aware of pharmacy practice in health systems; provide information to students about career directions in and credentials needed for pharmacy practice in health systems; and encourage membership and participation in the Florida Society of Health-System Pharmacists (FSHP) and the American Society of Health-System Pharmacists (ASHP) as a student upon graduation.ť,Pharmacy,N/A
Student Society of Health-System Pharmacy-Orlando Campus,"We are the Student Society of Health-System Pharmacy at the University of Florida College of Pharmacy's Orlando Campus. Our chapter is dedicated to educating members about pharmacy career pathways in hospitals and health-systems, and providing professional development, networking, and service opportunities. We aspire to ignite passion within student pharmacists by creating opportunities to immerse themselves in the exploration of career pathways in health-system pharmacy practice. As a student organization, we aim to provide the tools and experiences our members need to pave the road to a pharmacy residency through clinical skill building, professional development and networking.",Pharmacy,N/A
Student Veterinary Emergency and Critical Care Society,"The advancement of knowledge to students of veterinary medicine and students of veterinary technician training, and the promotion of the specialties of emergency medicine and critical care, both for the awareness of the members and in the community. To this end the SVECCS will function in the following capacities:  Dissemination of information about the functioning of the VECCS to its membership, particularly in regards to policy changes, activities, symposiums, etc. To this end a newsletter will be published and distributed to all student members. Dissemination of information about the various student chapters for the purposes of informing the VECCS and the SVECCS of the activities therein, and for the chapters to garner information and enthusiasm from the activities of others. To this end a newsletter will be published and distributed to all student members. Provide the elected officers of the VECCS with a yearly report detailing the activities and finances of the SVECCS. Encourage the inclusion of emergency medicine and critical care topics in the curriculum for those colleges of veterinary medicine having student chapters. To make available to the individual chapters a comprehensive list of those veterinary clinics across the United States specializing in emergency medicine and or critical care and whom are willing to make preceptorships available to the membership of the SVECCS. This list will be maintained on the SVECCS web page. Encourage the pursuit of internships or residencies in emergency medicine and critical care by the SVECCS members. To encourage the membership to pursue activities related to emergency medicine and critical care, such that the membership is able to gain exposure and experience in this important topic prior to graduation.","Veterinary Medicine, Professional/Career",N/A
Student/Farmworker Alliance,"Student/Farmworker Alliance is a national network of students organizing with the Coalition of Immokalee Workers (CIW) to address exploitation in the fields and build a food system based on justice, respect and dignity for farmworkers. The Gainesville chapter of SFA would be an opportunity to connect students and community members in the area to work being done at local, regional, and national levels.",Social and Global Change,N/A
Students Against Mass Incarceration,Students Against Mass Incarceration is a club dedicated to providing education on current inequities and racial disparities in our criminal justice system with a focus on outreach in both the community and beyond.,Social and Global Change,N/A
Students Against Melanoma,"The purpose of Students Against Melanoma is to raise Melanoma awareness in the UF and local community. As a member of SAM, students will gain leadership experience, and acquire beneficial knowledge from professionals involved in the prevention, treatment, and detection of melanoma. This organization will provide students with the knowledge of how to prevent melanoma and raise money for the Richard David Kann Foundation.","Community/Volunteer Service, Special Interests",N/A
Students Eat Right,The purpose of Students Eat Right is to provide an organization for students to join with the goal of advocating for public health matters as they relate to the field of dietetics.,Healthy Living,N/A
Students for international Veterinary Opportunities,"Students for International Veterinary Opportunities (SIVO) is an academic non-profit 501(c)(3) organization led by veterinary students and doctors at the University of Florida College of Veterinary Medicine. We provide no-cost, basic veterinary care to locations outside of the United States. Currently, we travel annually to the island of Roatán, Honduras for our 3-day clinic to offer vaccines, basic medications, and sterilization surgeries for resident animals at no cost. We depend upon donations and student fundraising efforts to make this trip possible. Last year, we provided medical services to roughly 300 animals, and we are in need of supplies and monetary donations to make our upcoming July trip as successful as possible! We appreciate any form of donation, including expired or unwanted supplies or medications.","Veterinary Medicine, Cummunity/Volunteer Service",N/A
Students for Justice in Palestine,"In stark recognition of the failure of modern society to produce a just and reasonable solution to the Palestine-Israel conflict, Students for Justice in Palestine is founded at the University of Florida as a human rights advocacy organization in order to promote public awareness and activism in our community.",Social and Global Change,N/A
Students for Salt,"Section One: Students for Salt exists to grow as a community of Christ followers (Acts 2:42-27) committed to reaching the lost of all nations with the message of salvation through Jesus Christ (Matthew 28:19-20, Acts 1:8) and equipping believers for vital ministry (Ephesians 4:11-13, 1 Peter 4:10-11). We exist to make disciples who make disciples of Jesus Christ. We are also affiliated with The Salt Company (“TSC”), a college ministry of Salt Church. It is our goal to promote this ministry on the University of Florida's campus.",Religious/Spiritual,N/A
Students for Sensible Drug Policy,"We are a student organization dedicated to creating a community while reducing self-harm through education, promoting wellness/positive mental health practice, and helping end the war on drugs.",Social and Global Change,N/A
Students for the New Urbanism,Students for New Urbanism is an organization working to educate and advocate for sustainable city planning best practices.,"Design/Construction/Planning, Professional/Career",N/A
Students Organize for Syria,The purpose of Students Organize for Syria at the University of Florida is to raise awareness of the humanitarian crisis in Syria and its effects abroad as well as provide students with opportunities to lead and serve the UF community on the local and international basis.,Social and Global Change,N/A
Study Abroad Peer Advisors,Our purpose is to promote study abroad as a valuable learning experience and advise students on cultural and academic aspects of study abroad,"Professional/Career, Special Interests",N/A
Sunshine Forum,"The Sunshine Forum will provide a nonpartisan space dedicated to the study and debate of policy that is relevant to the people of Florida and the United States of America. Our members will conduct research, publish analysis, and propose legislative solutions that improve our community, state, and nation.",Political Interests,N/A
Surf & Skim Club,To promote the sport and lifestyle of surfing to any one who is interested.,Sport Clubs,N/A
Surfrider Foundation Gator Club,"The purpose of Surfrider Foundation Gator Club is the protection and enjoyment of the world's oceans, waves, and beaches for all people through conservation, activism, research and education.","Community/Volunteer Service, Recreation, Special Interests",N/A
Survival Club,"The primary purpose of Survival Club is to provide faculty, students, and staff of the University of Florida with opportunities to gain knowledge of basic survival skills by participating in academic training and in outdoor activities. These goals shall be achieved through numerous meetings, trainings, and events coordinated by members of this organization with leadership opportunities for all members. This organization shall be not for profit or non-commercial in nature.",Recreation,N/A
Sustainable Ocean Alliance,"Our goals are to empower youth to develop and lead their own ocean sustainability initiatives, foster collaboration between youth, policymakers, NGOs, and stakeholders. Our values are to give the next generation a voice at global ocean events and in ocean policy and advocacy. We plan to function by leveraging the next generation's innovative solutions to critical ocean threats.","Social and Global Change, Special Interests",N/A
Swamp Launch,"Swamp Launch will provide a platform for students of all backgrounds to advance their knowledge of high power rocketry, rocket engineering, launch vehicles, and greater space exploration. To pursue these goals, Swamp Launch will technically and financially support design projects, high power rocketry certification efforts, design competitions, and foster community and industry engagement to enhance team and public success.",Engineering,N/A
Swamp Records,The purpose of Swamp Records is to explore and promote the music industry in the University of Florida as well as the Gainesville area and to aid those who wish to advance themselves in the industry and art.,"Fine Arts, Media/Publication, Professional/Career",N/A
SwampHacks,"SwampHacks is a student-run 36-hours open coding event, which hosts university students from all around the nation to come and create a project to be judged and ranked among other participant projects. The purpose of this organization shall facilitate the organization of this event",Special Interests,N/A
Taiwanese Student Association,"Provide Taiwanese students who are studying in Gainesville a comfortable and home-like environment, and helps them settle in UF",Cultural,N/A
Take a Break and Bake,"According to the constitution for Take a Break and Bake, our main focus is on the students. We hope to bring attention to the issue/importance of an individual's mental health especially when faced with the changes that college life brings. Our goal is to provide a safe environment where students have an opportunity to meet new people, learn new recipes, provide a diverse opportunity for volunteer experience, and give them the tools to help them de-stress.",Other,N/A
Take Action Florida,The purpose of Take Action Florida is to make education about social issues and ways to fight for social justice easily accessible to all. We will be utilizing our online platforms and social media presence to achieve this goal.,Social and Global Change,N/A
TAMID Group,"TAMID Group at the University of Florida is one of 54 international chapters (http://tamidgroup.org/) that focuses on experiential learning through business in Israel. New members will go through an education process that prepares them for action in our Investment fund, consulting teams, and group leadership. In addition, students will have the opportunity to study for free in Israel through an 8-week internship program.","Business, Professional/Career",http://tamidgroup.org/
Tau Beta Pi,"Tau Beta Pi is the oldest and most prestigious engineering honor society. The Florida Alpha Chapter was founded in 1961 and, out of 246 collegiate chapters, is one of the nation's most active. We have been named the Most Outstanding Chapter eight times. Our purpose is to recognize exceptional engineering students, encourage young students to pursue engineering, and serve our local community. To be eligible for membership, juniors must be in the top eighth of their class, and seniors and graduate students must be in the top fifth of their class; all candidates must demonstrate exemplary character.","Engineering, Professional/Career",N/A
TAU EPSILON PHI,"The brotherhood of Tau Epsilon Phi is based upon the three ideals of Friendship, Chivalry, and Service.",Interfraternity Council,N/A
TAU KAPPA EPSILON,Better Men for a Better World,Interfraternity Council,N/A
Tau Sigma National Honor Society,"Tau Sigma serves transfer students at the University of Florida. We recognize our students' academic achievement and provide students with professional development, service, and other opportunities. Our goal is to create an inclusive environment where transfer students can thrive.",Professional/Career,N/A
Tea Literary & Arts Magazine,"Tea Literary & Arts Magazine has been publishing the best prose, poetry, and visual art by UF students since 1995. Our mission is to cultivate a diverse community of undergraduate writers and artists. In the fall, we hold social and artistic events to inspire creatives and encourage their submissions to the magazine. All majors are welcome. In the spring, Tea staffers anonymously evaluate these submissions and print a magazine showcasing the best works. Our annual release party brings people together for a night of laughter, literature, and celebration.",Fine Arts,N/A
Team Florida Collegiate Cycling Club,"Team Florida Cycling is a student-run sports club that seeks to advance the sport of cycling through rider development, cycling advocacy, and collegiate competition. Cyclists of all skill levels from the University of Florida community are welcome and encouraged to participate in our club.","Recreation, Sport Clubs",N/A
Thai-Lao Student Association,"The purpose of the Thai-Lao Student Association will be to promote Thai and Lao culture on the UF campus, and to create a space where students who identify with the respective cultures can be represented. Furthermore, the Thai-Lao Student Association also aims to create a space where any student who is interested in the culture of Laos and Thailand can interact and network with others who share the same passion. Lastly, the Thai-Lao Student Association aims to build leadership and personal skills for its members.",Cultural,N/A
The Aggregate,"The Aggregate is established for the purpose of fostering a professional and advanced understanding of the discipline of sociology. This goal will be achieved by engaging graduate students with academics, researchers and professionals who can provide insights into sociology as it relates to academia and private sectors. Students who participate will raise funds to support the group's ability to hold regular colloquia on research and professionalization, bringing in outside experts from within and outside of the University of Florida, and assist students who wish to attend important sociological conferences. Students will also learn leadership skills, conflict resolution, and be encouraged to participate in mentoring relationships. This organization shall be not for profit or non-commercial in nature.","Liberal Arts and Sciences, Professional/Career",N/A
The American Society of Interior Designers and International Interior Design Association,"The purpose of ASID/IIDA is to engage, connect, and establish a community for college students within the interior design program, while also networking within the professional ASID and IIDA society.",Professional/Career,N/A
The Armenian Student Association,"The purpose of this organization is to unite students of the Armenian heritage and those who are interested and invested in the Caucasus region. We would like to celebrate these interests while bringing awareness to the unique traditions of the region that are not widely known. To foster a better understanding of our culture with the UF community, we will have Native Armenians participating in the club, which is quite a large benefit to non-Armenians, or Armenians that are not yet in touch with their roots.",Cultural,N/A
"The Association of Black Psychologists, Gator Chapter","The purpose and mission of The Association of Black Psychologists, Gator Chapter is to (a) promote and advance the profession of Black Psychology, (b) to effect social change within Black and indigenous communities of color (hereafter known as “the BIPOC community”) and (c) to create and facilitate healing spaces that restore, rejuvenate, liberate, and reconnect BIPOC communities. The Association of Black Psychologists, Gator Chapter will host a variety of events, meetings, and workshops for members and the community to fulfill this purpose and mission.","Cultural, Social and Global Change",N/A
